id,profileName,text,date,title,rating,images,helpful,variant:style,variant:capacity
R3MPTX8KAGSWG1,David Fisher,"This is the best laptop deal you can get, full stop.Touchescreen? Nope. That feature is stupid in a laptop, in my view. As you use the keyboard, incidental touche s of the screen change focus or move to different screens--touchscreen is a gimmick and sucks.The screen on this laptop is worth the price by itself. Gorgeous, black is actually black, it rivals my AOC gaming desktop monitor.The Ryzen chip inside can be overclosked if you feel like it, but it is not needed. It is plenty fast for a laptop.This is set up to add memory and a hard drive. Do so. I spent an additional $50 to add a 1tb drive and an 8gig memory stick. In so doing, I have the same specs as a $700 consumer laptop.Gaming? I stream from my desktop, it's perfect. It won't run any modern games at more than low settings (if that) but you don't need to run them onboard if you have a gaming machine. DO NOT BUY THIS TO PLAY GAMES ONBOARD. Stream via Steam, it's perfect.Buy this for $300, spend an additional $50 or $100 on memory and storage, and sit back and realize that you got a premier laptop for 1/3 the money people are spending on nothing.Build quality is bomber. Eveything is solid, no rattles, no warps. Others have ripped on the touchpad--can't tell the difference between this and any other laptop touchpad. It isn't loose, responds as usual, no problem.The screen is GORGEOUS and much better than laptops at twice or three times the price.I actually like the compressed number pad on the right. If you aren't doing a lot of 10-key stuff, it's what you need.The keyboard backlight stays on while you're typing, shuts off when you aren't. Perfectly configured.This boots in about 15 seconds.It has some heft, but is still very light. Hard to describe, but you can carry this all day in your backpack and not even know it is there. The power brick is about the size of a Toblerone tube. I plan on buying an extra to travel with.This will work as a consumer laptop as is, like I said, but add some memory and a hard drive and you are CRUSHING.I can't sing the praises of this enough.Buy this, add a drive and a memory stick and you get a premier laptop for less than $400. And you get a better screen, too. And anyone can do that, it isn't tough at all. If you can turn a screwdriver, you can update this machine.Make sure to go in and turn S mode off. First, activate Windows, then go to the store and turn off S mode.This is much better than what other companies are offering as a budget laptop.","Reviewed in the United States on August 3, 2019",This is NOT a Budget Laptop!,5,https://images-na.ssl-images-amazon.com/images/I/71XURpeSD+L.jpg,4,R3 3200U,15.6-inch
R1FQ1D4LKTEGUG,Wilderness Family,"This year, both our old laptops gave up the ghost and we had to buy new ones. I first did research for my wife. She likes to move her laptop to various chairs around the house. Once online, connected to the world through WiFi, she looks up news and other things, checks her email, does banking, and watches a few videos. Sometimes we talk to family and friends on Skype. I know a lot more about computers than she does, so she asked me to find one for her. A touch-screen wasn't important, so I was looking for a thin, attractive, high-resolution screen laptop, with reasonable speed and a solid operating system. We've also tried tablets , but without a decent physical keyboard, found them lacking. The bonus was, judging by her needs, I didn't think we needed to break the bank to find a decent machine at the lower end of the scale. When we bought it, just a month ago at the time of this writing, the price was a hair under $350. Today, a quick review of the product page shows they've shoved that up by $70 to $420. Why?? I have to say, that might have been a deal-breaker.However, I did choose this Acer Aspire 5 Slim Laptop. It arrived and I went to work to set it up for her. It was pretty intuitive. Plug it in, press the power button, and follow the prompts. Easy. However, we like to use a lot of apps not made (or even approved) by Microsoft. The laptop comes with Windows 10 on it, in Microsoft's ""S"" mode. In other words, they set it up so you can only get Microsoft programs and apps that come from their online store. If that doesn't suit you, don't despair: you can opt out of that ""Microsoft-only"" mode during setup.For example, we like using the Opera browser, not M's ""Edge."" As soon as you try and download the program, Microsoft pop ups appear, all concerned: ""are you sure?"" ""Apps not approved by Microsoft may be dangerous -- may damage your computer."" And ""once you abandon S mode, you will not be able to get it back!"" Don't worry, go ahead and press the button. You'll still have Windows 10 and can choose apps from wherever you want them.I'm not going to go through the technical stuff in this review. You can read all about that on this product page. I'll just tell you, the laptop is attractive, light and thin, the screen is big enough for everything you want to do, including watching videos and movies, and it is in good resolution. It runs quietly, and its interface with WiFi and online webpages is good. The backlit keyboard is nicely laid out and easy to type on. You get 3 x USB ports, plus others. You get 4 gigs of working RAM, which may not sound like a lot, but it's plenty to handle watching videos etc. You get 128 gigs of memory on the harddrive -- again, not huge, but it is solid state, which means, dependable. And these days, it's so easy to add an external drive or get yourself a bunch of thumb drives which are now cheap - cheap - cheap. And of course, you can use Microsoft's One Drive (installed) or any other cloud memory service you prefer.My wife is happy with her Acer. And then, a couple of weeks after we got hers, my own laptop went down for the final count. I happen to do advanced video and photograph editing on two different desktops, a PC and a Mac for various applications. But I also like to use a laptop for much of the same things my wife does. My choice was even easier this time. I chose the same Acer we'd just acquired for her. Fortunately, I also got the $350 price, or we would have paid an extra $140 on our two purchases.In the meantime, we're enjoying our Acer laptops. Recommended!","Reviewed in the United States on July 20, 2020","A Laptop So Nice, We Bought It Twice",5,"https://images-na.ssl-images-amazon.com/images/I/61+GL8NyPCL.jpg
 https://images-na.ssl-images-amazon.com/images/I/611De3D+AuL.jpg",53,R3 3200U,15.6-inch
R1LUKPZ6GT1NH0,Thomas VanAllen,"I learned with this purchase that any computer that has s mode will be a nightmare of pain and frustration. NEVER again will I buy anything that says s mode. I’ve spent hours going from one solution to another and putting the computer away to keep myself from throwing it against the wall. What makes it okay to wall away all my favorite apps and leave behind nothing but junk I don’t want? I could say so much more but then they wouldn’t post it. I want a laptop and now that I have personal information on it I feel trapped into keeping it, so I probably won’t return it, but it also might end up collecting dust in the corner because I can’t get it to work right.-Update- It is now free of s mode. The same function that failed to work dozens of times allowed me to exit and all is working correctly now so I’m adding stars. 4 star product.","Reviewed in the United States on June 16, 2024",S mode nightmare,4,https://m.media-amazon.com/images/I/619iqS7+G2L.jpg,0,2023 model,15.6-inch
R1642GGL4WGN1V,Fleshypi,"The laptop works absolutely perfect for Linux it's big but not too big to fit in my backpack to carry it around wherever I go, the BIOS settings looks really old but other than that I have no qualms with it. The only hardware related issue I've had with it using Linux is the network card, in the past I've had laptops that won't connect to the internet at all with their network cards this one's not like that, the internet connection is flawless but it can't connect to Bluetooth without installing separate drivers, other than that I have no huge problems with it The Bluetooth thing isn't a big deal and I've been using it for a couple months and am pretty happy","Reviewed in the United States on June 20, 2024",flawless Linux support,5,https://m.media-amazon.com/images/I/71FO98qotvL.jpg,3,2023 model,15.6-inch
R2ND3IETU6GEDB,Amazon Customer,"The Short Story: Windows S-mode is stupidly impossible to turn off and Acer should be embarrassed to have this pre-installed on their machines.The Long Story: It was time for a new laptop. I have babied my little 4yo Lenovo Flex14 for as long as possible, but when the number row on the keyboard stopped working, I realized it was time. So I started researching laptops, trying to find one that had the most features for the best price. I read plenty about S-mode and read plenty of reviews that said that it was easy to turn S-mode off. And I read plenty of angry reviews from people that tried everything to get rid of S-mode and eventually returned it to Amazon. But that wouldn't happen to me. I was sure that the angry people must not have followed directions or were technologically impaired. So after much researching and comparing, I settled on this sweet little Acer. With the exception of not having a touchscreen, it ck'd all of my other boxes.I placed my order and anxiously tracked my delivery the next day, refreshing the Amazon order page every 5min. It finally arrived and I almost dropped it, I was so excited w anticipation. I opened the pkg, noting the Windows 11 sticker w S-mode instructions. Very few things smell better than a new laptop when you open the box. I plugged it in and powered it on. The screen was lovely. The keyboard keys were flatter than my Lenovo, but easy to use. The touchpad was very responsive. I went thru all of the steps to get it setup and patiently waited for it to go thru all of it's updates and finally, the moment of truth: turning off S-mode. I carefully followed the instructions on the box. I followed the instructions on the screen. I followed the FAQ instructions on the Windows page. I googled instructions and for 36hrs, I was obsessed w finding The Fix to turn this d*maned S-mode off. I lit some sage to clean it's aura. I recited healing scriptures over it. I watched so many YouTube videos, it messed up my algorithm and now I have plenty of How to Get Rid of S-mode on my feed. I almost called in a priest for an exorcism. I felt defeated and relegated myself to the Technologically Impaired side of the room. I started the refund/return process and I was packing it up, the last thing I saw was that stupid Windows 11 S-mode instruction sticker, mocking me, and I had the sudden urge to yeat the stupid box w it's stupid laptop and it's stupid S-mode out the window.So buyer beware: if you need to do anything that Uncle Bill hasn't approved of, you.are.screwed. At the very least, I just needed Citrix and Chrome installed to do my job. SO simple and yet, Uncle Bill and Microsoft deem them unworthy to be in their Microsoft Store. However, as a consolation prize, Microsoft was thrilled to let me know, via a pop-up box that I had to continually click out of, that I was eligible to download a variety of games *including Minecraft* via the The Store!! Eeeeeek!! How exciting!! I'm certain my employer would have been delighted to find out I was able to play Minecraft on my new laptop, but not the program that I actually needed for my job. Too bad cute little cartoon blocks can't pay the bills. :(Also... a word of caution... if you don't want S-mode, read thru every laptop description *thoroughly*. I was shocked at how many laptops had only Windows 11 listed in the Title/Heading, but when I read through the description, I would find that it was actually Windows 11 w S-mode. It was always the ones w lengthy descriptions listing all of it's FABULOUS features oh... and btw (last item mentioned), it has Windows 11 in S-mode. :-\","Reviewed in the United States on June 21, 2024",Windows S[tupid]-Mode,2,https://m.media-amazon.com/images/I/51VIJbTN1DL.jpg,6,2023 model,15.6-inch
R20Q9YKGWVMIK3,Mackenzie,"I have had a Acer Chromebook since 2019 and have needed to upgrade for awhile. I recently got a new remote job that pretty much forced me to upgrade since the Chromebook had 2GB of RAM and almost no storage.This Acer has been great for the past month. I was looking for something with at least 8GB RAM and 256 or more memory. The speed of this computer has been wonderful. I can have multiple tabs going at once and have had no issues thus far. I have not loved Windows operating systems in the past, but this one isn't too bad. Once you get rid of Microsoft edge and use Google Chrome, it was back to business as usual for me. Perfect size for me, lightweight and easy to travel. The protective case it came with was a small, but nice bonus as well.Battery life hasn't been tested too specifically yet but I have easily worked for 3-4 hours off the charger and have had plenty of battery left. So I think it's going to be just fine in that regard.I've been told I can probably do some gaming with this computer but I haven't tried that yet, as I much rather use my PS5. All in all, this computer is plenty powerful for what I need. Zoom calls, research, multiple tabs open, Slack, ClickUp (productivity apps).Highly recommend at this price point.","Reviewed in the United States on April 30, 2024",Great work computer for a great price,5,"https://m.media-amazon.com/images/I/713UlMDSaeL.jpg
 https://m.media-amazon.com/images/I/71zsZ-FdsZL.jpg",20,2023 performance,14-inch
R10NISG7PZIG7R,TalesOfArkYT,"My second ever Acer laptop. I had a small one in my younger years, and that thing struggle quite a long. This laptop is pretty much better in all it’s way, but that because of today technology. Honestly speaking, this laptop isn’t that great, but it’s good enough for what I need it for, which is good enough for me. For $300, and even less on sales. You can do some light office/college/business work, light browsing, and very very light gaming on low setting. Unless it’s an old MMO, you could probably get away with medium or higher, but don’t expect much. This thing may have “8” gb ram, but in honesty. You’re probably going to have around 3.5-4gb ram free, as window system will eat majority of it. My biggest complaint is that you can’t upgrade the ram, it’s sadly soldered on. Unlike the storage, which is upgradable, but do know you’ll have to reinstall window. The casing feels “light”, very light, enough to where to I don’t want to apply too much pressure as it might deform or bent it in a way, maybe cheap material. The display is….. uh do able? It’s very dim and the color is like off, very off, don’t expect to do any artsy stuff with correct colors. As for battery, it leaves a lot to be desire. Depending on what you’re doing you could be around 2-7hr battery life, so make sure to always keep it plugged in. The keyboard is fine, it’s nice to have a laptop with the side pad, it’s something I use for when I do light gaming. Other than, it’s a pretty all rounder budget laptop for a cheap price. Worth it for my use case, as I already have a gaming PC and a Steam Deck.","Reviewed in the United States on January 30, 2024","Not Great, but Decent Enough",4,"https://m.media-amazon.com/images/I/61GGi4aheBL.jpg
 https://m.media-amazon.com/images/I/61Lbg1IxpXL.jpg
 https://m.media-amazon.com/images/I/61OaKVeMJ7L.jpg
 https://m.media-amazon.com/images/I/61V+OFfUWsL.jpg
 https://m.media-amazon.com/images/I/61iOnYVXqVL.jpg",11,2023 model,15.6-inch
RHXUYJ9U45S8W,BelleMel,"This computer is nice and sleek and performs as needed, the only thing I don’t like is the 0 on the keypad is in a weird place. As a lover of the keypad versus the numbers at the top of the keyboard, this is annoying.Everytime I intend to type 0, I end up with a period. Other that, it’s a nice laptop.","Reviewed in the United States on May 25, 2024","I love everything about this computer, except…",4,https://m.media-amazon.com/images/I/615FaR7dUsL.jpg,2,2023 model,15.6-inch
RI0DYRACJ8693,Johnny Tezz,"What at first sight caught my attention was the design of this laptop, minimalist to put it in some way, having it in my hands because I am not disappointed at all, the build quality is good for a laptop of this price (I acquired it for $ 309.99 dollars), the touchpad is of a considerable size because it allows you to navigate freely and the gestures, are quite intuitive, the bad thing that you notice is that you click manually (if you prefer since it is better to do it through the configuration of two fingers ) The touchpad is perceived loose, cleaning it shows as if it moved to the sides. The keyboard is magnificent, the position of the keys is just what you need, the noise it makes when you type it is not annoying, it has lighting which helps you a lot when using it in low light, it is programmed to turn off if you do not use it which is good if you are watching a movie, reading or watching videos on YouTube. The screen is very good, to be honest I was very surprised, its quality is quite clear the colors are not appreciated false or over saturated, the image quality it offers is something that will fascinate you outdoors because you have to look for a good angle of that shape will not be affected, the brightness is decent if you want to lower it to a minimum and when you choose to upload it to the maximum you will appreciate the clear images without perceiving that feeling of discomfort. In terms of performance I can not add much, of course the programs I use because I do not consider them something that requires too much resources from the processor, it is worth mentioning that I chose the laptop with an AMD Ryzen 3 3200U Dual-Core Processor 2.6GHz. I consider it a laptop for normal day-to-day use, to perform tasks in Excel, to do documents, to browse the web, are things that make them very easily the solid state disk (128 SSD) allows you to open programs with very easily, even with the basic specifications you will have a very good performance and speed, I have installed Autocad 3D which is the program that I normally have installed on my MacBook Pro and it turns out that it runs without any complications. Windows 10 version S is installed at the factory.The audio is quite good for the price of the laptop, the music is clear but do not expect to have a serious and powerful sound I will only tell you that it is good, what I disliked was the fact when I put the laptop on my legs or on the surface From my bed the audio is compromised. The battery life I would put about 5 hours with a medium intensive use.Summing up if what you are looking for is a PC that has a good performance and speed for basic day-to-day use in current standards, because this is your option, if you are looking for something more professional then you will have to look at more options that offer you higher specifications, at least I use it for personal use and I am very happy with its performance, I have not installed any games so I can not give you a review about its behavior in games.Switching out of S mode in windows 10On your PC running Windows 10 in S mode, open Settings > Update & Security > Activation.In the Switch to Windows 10 Home or Switch to Windows 10 Pro section, select Go to the Store. (If you also see an ""Upgrade your edition of Windows"" section, be careful not to click the ""Go to the Store"" link that appears there.)On the Switch out of S mode (or similar) page that appears in the Microsoft Store, select the Get button. After you see a confirmation message on the page, you'll be able to install apps from outside of the Microsoft Store.","Reviewed in the United States on December 5, 2019",Out of the blue .,5,"https://images-na.ssl-images-amazon.com/images/I/716Lyx7mz6L.jpg
 https://images-na.ssl-images-amazon.com/images/I/71LDkSYU+iL.jpg
 https://images-na.ssl-images-amazon.com/images/I/71YDAeJ7O7L.jpg",13,R3 3200U,15.6-inch
R3FWX2CC373TC,Justin,This computer works well. The only reason I took 1 star off is because they ship it in the original box which 1 does not offer protection and 2 people can see what it is and steal it.,"Reviewed in the United States on May 29, 2024",Good for the money,4,https://m.media-amazon.com/images/I/711NCtB2qTL.jpg,0,2023 model,15.6-inch
